Co-ordinates,REZ-W1,REZ-W2,REZ-W3,REZ-NT1,REZ-NT2,REZ-NT3,REZ-N1,REZ-N2,REZ-N3,REZ-N4,REZ-N5,REZ-N6,REZ-N7,REZ-N8,REZ-N9,REZ-Q1,REZ-Q2,REZ-Q3,REZ-Q4,REZ-Q5,REZ-Q6,REZ-Q7,REZ-Q8,REZ-S1,REZ-S2,REZ-S3,REZ-S4,REZ-S5,REZ-S6,REZ-S7,REZ-S8,REZ-S9,REZ-T1,REZ-T2,REZ-T3,REZ-V1,REZ-V2,REZ-V3,REZ-V4,REZ-V5,REZ-V6
Location,"Geraldton, WA","Ashburton, WA","Port Hedland, WA","Baines, NT","McArthur, NT","Tennant Creek, NT",North West NSW,New England,Central West NSW,Southern NSW Tablelands,"Broken Hill, NSW",South West NSW,"Wagga Wagga, NSW","Tumut, NSW","Cooma Monaro, NSW",Far North QLD,Clean Energy Hub North QLD,Northern QLD,"Isaac, QLD","Barcaldine, QLD","Fitzroy, QLD","Wide Bay, QLD","Darling Downs, QLD","South East, SA","Riverland, SA",Mid North SA,Yorke Peninsula SA,Northern SA,"Leigh Creek, SA",Roxby Downs SA,"Eastern Eyre Peninsula, SA","Western Eyre Peninsula, SA",North East Tasmania,North West Tasmania,Tasmania Midlands,"Ovens Murray, VIC","Murray River, VIC",Western VIC,"Moyne, VIC","Gippsland, VIC",Central North VIC
1/01/2019 19:30,0.721453,0.364646,0.4254,0.644445,0.448678,0.834504,0.062465,0.0489955,0.154534,0.2241775,0.323744,0.151855,0.0427595,0.0791035,0.0140145,0.1982695,0.805454,0.6584385,0.805455,0.5261715,0.528093,0.5130695,0.535783,0.2972545,0.507857,0.225573,0.175329,0.8098985,0.041748,0.212221,0.2395095,0.7606355,0.8775295,0.5625675,0.898925,0.007964,0.4259055,0.415172,0.1789375,0.245487,0.6860135
1/01/2019 20:30,0.651257,0.357233,0.414,0.730459,0.444128,0.853934,0.226636,0.089067,0.4330245,0.317022,0.463695,0.3711225,0.0917025,0.137017,0.02229,0.283746,0.846579,0.6511185,0.837027,0.680049,0.557282,0.4643425,0.595625,0.2946935,0.6527435,0.3918395,0.273939,0.8503815,0.0657805,0.369975,0.293986,0.7895475,0.8783345,0.561081,0.8984355,0.021738,0.671923,0.64104,0.161076,0.2502975,0.867505
1/01/2019 21:30,0.54759,0.306638,0.3579,0.775349,0.382599,0.848857,0.4219325,0.167891,0.733811,0.293059,0.538614,0.6767355,0.184054,0.1742655,0.0223705,0.393309,0.8769905,0.6657805,0.8209825,0.7489775,0.7076715,0.414798,0.690027,0.2644805,0.7540695,0.624084,0.4300175,0.8743155,0.1474235,0.641937,0.401652,0.7397205,0.858479,0.5404695,0.896854,0.040174,0.8060735,0.8023665,0.1580775,0.2066365,0.89721
1/01/2019 22:30,0.468641,0.260101,0.3286,0.780455,0.373611,0.823864,0.4385545,0.1642795,0.754003,0.240188,0.6074045,0.784905,0.190176,0.168733,0.0289595,0.5159065,0.87607,0.6860205,0.791296,0.8107005,0.7412825,0.410722,0.8096755,0.2421295,0.7393935,0.783386,0.5092545,0.857217,0.4280435,0.839397,0.5041365,0.659533,0.826424,0.4924885,0.897753,0.035766,0.766941,0.829239,0.145197,0.148013,0.8997055
1/01/2019 23:30,0.399878,0.235428,0.3575,0.795756,0.380249,0.788497,0.481689,0.0752125,0.767638,0.242608,0.7550485,0.7985435,0.128972,0.1686655,0.027896,0.6077755,0.862338,0.670628,0.6862175,0.851535,0.6796855,0.4451145,0.826982,0.211393,0.6922355,0.84771,0.504725,0.828927,0.75322,0.879022,0.5693525,0.560818,0.8119405,0.4989405,0.8986065,0.0354515,0.675331,0.844078,0.1142025,0.1230765,0.899714
2/01/2019 0:30,0.335638,0.235426,0.4083,0.808464,0.379929,0.747291,0.6705175,0.0026865,0.868472,0.8806585,0.861159,0.798523,0.1059915,0.135662,0.0203865,0.708942,0.789557,0.6582905,0.633927,0.83997,0.617926,0.461755,0.83993,0.188021,0.6152145,0.8825095,0.4813405,0.8313905,0.880159,0.852302,0.599569,0.492078,0.786759,0.547608,0.8986115,0.0528995,0.6049945,0.859802,0.083428,0.1180775,0.8996255
2/01/2019 1:30,0.352164,0.235466,0.4625,0.830704,0.332942,0.697674,0.7836905,0.021948,0.8842355,0.8698225,0.89039,0.716688,0.076111,0.113487,0.028638,0.8284895,0.6674185,0.681219,0.6765895,0.8066435,0.5525965,0.439639,0.849404,0.1740835,0.522241,0.8840185,0.508749,0.8252735,0.8995795,0.7841155,0.5896955,0.4658455,0.697147,0.5312645,0.899219,0.049888,0.5614915,0.843907,0.0651045,0.100299,0.898657
2/01/2019 2:30,0.350611,0.19832,0.4879,0.837643,0.243326,0.644446,0.7376785,0.050595,0.8910185,0.8073765,0.895398,0.575602,0.103875,0.1274465,0.030229,0.8775815,0.6252355,0.7145605,0.6701295,0.770232,0.535793,0.4134285,0.865438,0.1546405,0.4437175,0.876492,0.5536315,0.805775,0.899659,0.7158045,0.571253,0.422162,0.574998,0.4470185,0.896144,0.040247,0.513666,0.802611,0.081889,0.0829555,0.8967485
2/01/2019 3:30,0.326425,0.11976,0.5004,0.814616,0.157983,0.598424,0.738927,0.0813735,0.899823,0.771518,0.898412,0.485955,0.1668725,0.150404,0.0215895,0.898191,0.6430615,0.7281435,0.6441065,0.7021275,0.5350935,0.3805655,0.8613045,0.1393005,0.3906415,0.864407,0.5850665,0.7273915,0.8998705,0.656238,0.566153,0.409601,0.5013755,0.3322775,0.894209,0.030573,0.492313,0.7245625,0.0969995,0.0801915,0.8941205
2/01/2019 4:30,0.302587,0.047276,0.4596,0.771492,0.105811,0.567874,0.6711435,0.1698365,0.9,0.7565305,0.8991175,0.4135355,0.202685,0.1948805,0.028215,0.899531,0.672803,0.8064925,0.583715,0.6622185,0.43911,0.3426775,0.8334965,0.1119515,0.334812,0.855949,0.5441765,0.6566475,0.9,0.6186165,0.554686,0.478866,0.4536455,0.28072,0.895118,0.0264545,0.481171,0.6541925,0.079054,0.070409,0.8922865
